DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Dec-2025,EQ,2094.8,2108.5,2074.1,2086.0,2103.0,2103.8,2090.47,2174.5,1559.5,4611819,9640866601.1,168962
03-Dec-2025,EQ,2100.1,2109.9,2081.6,2104.0,2087.0,2086.0,2088.46,2174.5,1559.5,4357641,9100769632.8,206107
02-Dec-2025,EQ,2089.8,2114.8,2087.1,2089.7,2107.8,2104.0,2102.82,2174.5,1559.5,6591396,13860529208.8,266344
01-Dec-2025,EQ,2114.7,2119.0,2083.1,2101.6,2090.5,2089.7,2095.86,2174.5,1559.5,5058900,10602749697.7,232889
28-Nov-2025,EQ,2118.0,2129.5,2096.4,2115.6,2100.0,2101.6,2105.61,2174.5,1551.15,6263457,13188376119.0,150812
27-Nov-2025,EQ,2132.0,2136.9,2103.8,2126.8,2118.0,2115.6,2116.63,2174.5,1551.15,4444877,9408157935.7,154239
26-Nov-2025,EQ,2104.0,2134.9,2097.5,2161.6,2127.0,2126.8,2102.43,2174.5,1551.15,43174047,90770524452.1,217044
25-Nov-2025,EQ,2159.0,2170.7,2138.7,2152.1,2156.6,2161.6,2159.81,2174.5,1551.15,7102592,15340216596.7,172471
24-Nov-2025,EQ,2162.1,2165.8,2140.4,2162.7,2145.0,2152.1,2154.46,2174.5,1551.15,9686848,20869887058.2,140722
21-Nov-2025,EQ,2150.1,2174.5,2148.6,2158.3,2165.0,2162.7,2162.63,2174.5,1511.0,6720938,14534905632.6,141397
20-Nov-2025,EQ,2153.1,2169.3,2149.9,2159.8,2160.0,2158.3,2158.31,2169.3,1511.0,7452899,16085671565.6,151163
19-Nov-2025,EQ,2155.0,2166.2,2146.7,2149.2,2160.0,2159.8,2152.67,2166.2,1511.0,7419461,15971622748.6,151296
18-Nov-2025,EQ,2122.0,2159.0,2110.3,2112.2,2146.1,2149.2,2144.35,2159.0,1511.0,10972556,23528990860.4,213187
17-Nov-2025,EQ,2112.0,2122.0,2100.9,2100.7,2111.3,2112.2,2113.15,2135.6,1511.0,5998770,12676321842.4,138351
14-Nov-2025,EQ,2090.0,2107.9,2081.9,2091.8,2096.8,2100.7,2090.07,2135.6,1511.0,6312655,13193910899.9,209996
13-Nov-2025,EQ,2099.9,2107.0,2079.0,2073.8,2093.0,2091.8,2093.54,2135.6,1511.0,5958875,12475113933.4,167057
12-Nov-2025,EQ,2060.0,2079.8,2054.9,2042.3,2077.9,2073.8,2070.4,2135.6,1511.0,8210277,16998543806.7,196315
11-Nov-2025,EQ,2020.1,2056.9,2017.4,2019.8,2044.5,2042.3,2043.06,2135.6,1511.0,14825625,30289652182.7,314436
10-Nov-2025,EQ,1995.0,2028.8,1992.2,2001.2,2020.5,2019.8,2017.05,2135.6,1511.0,7457061,15041281563.9,158704
07-Nov-2025,EQ,2048.0,2048.0,1995.6,2094.9,2001.5,2001.2,2025.7,2135.6,1511.0,70392750,142594915349.9,260133
06-Nov-2025,EQ,2115.0,2123.3,2080.5,2113.3,2095.0,2094.9,2103.02,2135.6,1511.0,9546299,20076041845.4,327497
04-Nov-2025,EQ,2107.0,2135.6,2103.5,2074.0,2110.0,2113.3,2118.36,2135.6,1511.0,12263078,25977570895.9,316732
03-Nov-2025,EQ,2055.0,2081.0,2047.2,2054.5,2077.0,2074.0,2063.74,2110.4,1511.0,2979629,6149184487.3,137662
31-Oct-2025,EQ,2056.0,2073.8,2051.7,2066.3,2061.3,2054.5,2059.64,2110.4,1511.0,4659723,9597365272.3,168898
30-Oct-2025,EQ,2070.0,2088.0,2058.6,2100.6,2069.0,2066.3,2066.87,2110.4,1511.0,4222189,8726723356.2,228047
29-Oct-2025,EQ,2083.0,2110.4,2081.6,2090.2,2100.0,2100.6,2098.48,2110.4,1511.0,2742750,5755608868.0,137123
28-Oct-2025,EQ,2092.0,2102.6,2071.7,2080.1,2088.0,2090.2,2089.72,2102.6,1511.0,9891522,20670514955.2,262444
