DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Nov-25,EQ,"2,155.00","2,166.20","2,146.70","2,149.20","2,160.00","2,159.80","2,152.67","2,166.20","1,511.00",7419461,"15,97,16,22,748.60",151296
18-Nov-25,EQ,"2,122.00","2,159.00","2,110.30","2,112.20","2,146.10","2,149.20","2,144.35","2,159.00","1,511.00",10972556,"23,52,89,90,860.40",213187
17-Nov-25,EQ,"2,112.00","2,122.00","2,100.90","2,100.70","2,111.30","2,112.20","2,113.15","2,135.60","1,511.00",5998770,"12,67,63,21,842.40",138351
14-Nov-25,EQ,"2,090.00","2,107.90","2,081.90","2,091.80","2,096.80","2,100.70","2,090.07","2,135.60","1,511.00",6312655,"13,19,39,10,899.90",209996
13-Nov-25,EQ,"2,099.90","2,107.00","2,079.00","2,073.80","2,093.00","2,091.80","2,093.54","2,135.60","1,511.00",5958875,"12,47,51,13,933.40",167057
12-Nov-25,EQ,"2,060.00","2,079.80","2,054.90","2,042.30","2,077.90","2,073.80","2,070.40","2,135.60","1,511.00",8210277,"16,99,85,43,806.70",196315
11-Nov-25,EQ,"2,020.10","2,056.90","2,017.40","2,019.80","2,044.50","2,042.30","2,043.06","2,135.60","1,511.00",14825625,"30,28,96,52,182.70",314436
10-Nov-25,EQ,"1,995.00","2,028.80","1,992.20","2,001.20","2,020.50","2,019.80","2,017.05","2,135.60","1,511.00",7457061,"15,04,12,81,563.90",158704
07-Nov-25,EQ,"2,048.00","2,048.00","1,995.60","2,094.90","2,001.50","2,001.20","2,025.70","2,135.60","1,511.00",70392750,"1,42,59,49,15,349.90",260133
06-Nov-25,EQ,"2,115.00","2,123.30","2,080.50","2,113.30","2,095.00","2,094.90","2,103.02","2,135.60","1,511.00",9546299,"20,07,60,41,845.40",327497
04-Nov-25,EQ,"2,107.00","2,135.60","2,103.50","2,074.00","2,110.00","2,113.30","2,118.36","2,135.60","1,511.00",12263078,"25,97,75,70,895.90",316732
03-Nov-25,EQ,"2,055.00","2,081.00","2,047.20","2,054.50","2,077.00","2,074.00","2,063.74","2,110.40","1,511.00",2979629,"6,14,91,84,487.30",137662
31-Oct-25,EQ,"2,056.00","2,073.80","2,051.70","2,066.30","2,061.30","2,054.50","2,059.64","2,110.40","1,511.00",4659723,"9,59,73,65,272.30",168898
30-Oct-25,EQ,"2,070.00","2,088.00","2,058.60","2,100.60","2,069.00","2,066.30","2,066.87","2,110.40","1,511.00",4222189,"8,72,67,23,356.20",228047
29-Oct-25,EQ,"2,083.00","2,110.40","2,081.60","2,090.20","2,100.00","2,100.60","2,098.48","2,110.40","1,511.00",2742750,"5,75,56,08,868.00",137123
28-Oct-25,EQ,"2,092.00","2,102.60","2,071.70","2,080.10","2,088.00","2,090.20","2,089.72","2,102.60","1,511.00",9891522,"20,67,05,14,955.20",262444
27-Oct-25,EQ,"2,030.00","2,094.00","2,030.00","2,029.30","2,083.00","2,080.10","2,078.53","2,094.00","1,511.00",5796831,"12,04,89,05,188.60",187130
24-Oct-25,EQ,"2,008.00","2,033.00","2,006.90","2,007.90","2,028.00","2,029.30","2,024.56","2,067.00","1,511.00",3236799,"6,55,31,06,604.60",166105
23-Oct-25,EQ,"2,063.90","2,067.00","2,003.60","2,043.50","2,009.90","2,007.90","2,023.86","2,067.00","1,511.00",8790128,"17,78,99,60,867.90",296341
21-Oct-25,EQ,"2,051.80","2,058.50","2,038.50","2,051.50","2,041.60","2,043.50","2,045.30","2,058.50","1,511.00",240850,"49,26,10,681.50",21615
20-Oct-25,EQ,"2,026.00","2,057.00","2,019.70","2,012.00","2,050.00","2,051.50","2,042.87","2,057.00","1,511.00",7387180,"15,09,10,64,288.20",225566
17-Oct-25,EQ,"1,973.60","2,034.30","1,970.30","1,967.40","2,012.90","2,012.00","2,013.74","2,045.80","1,511.00",6743801,"13,58,02,90,074.70",202098
16-Oct-25,EQ,"1,962.30","1,986.90","1,962.00","1,968.50","1,970.20","1,967.40","1,973.83","2,045.80","1,511.00",3700674,"7,30,45,00,778.70",246779
